,Product titer (g/L)
369,0.009360730593607305
108,0.0
3519,0.01506849315068493
1654,0.01780821917808219
204,0.0005495890410958903
3404,0.025388127853881275
1565,0.0004337899543378995
4117,0.0003027397260273972
958,0.024657534246575342
3712,0.0684931506849315
817,0.04657534246575342
2861,0.028310502283105023
1333,0.02150684931506849
410,0.0091324200913242
1151,0.00502283105022831
2001,0.023561643835616437
427,0.007077625570776256
1535,0.06666666666666667
2934,0.014611872146118721
1489,0.014611872146118721
308,0.0011863013698630135
2795,0.13493150684931507
266,0.013013698630136987
1576,0.0821917808219178
1408,0.011872146118721462
2700,0.019178082191780823
3118,0.0008073059360730594
2212,0.0006028310502283105
4187,0.260958904109589
1598,0.1095890410958904
2617,0.0017018264840182647
3111,0.0002378995433789954
745,0.00136986301369863
93,0.003744292237442922
1273,0.0002328767123287671
4246,0.16712328767123288
3359,0.0024748858447488586
715,0.0
533,0.0004333333333333333
1495,0.010401826484018264
3092,0.005936073059360731
2432,0.00025187214611872144
1944,6.80365296803653e-05
3528,0.0273972602739726
2061,2.831050228310502e-05
1456,0.02054794520547945
815,0.0182648401826484
777,0.026027397260273973
3129,0.0091324200913242
2154,1.506849315068493e-06
1180,0.01643835616438356
3985,0.46803652968036524
2676,0.2968036529680365
4678,0.0003744292237442922
4150,0.0228310502283105
845,0.03424657534246575
4625,0.0001726027397260274
4359,0.008401826484018264
2911,0.0
2344,0.00020657534246575342
4095,0.09315068493150684
486,0.0
3858,0.0091324200913242
2618,0.002078995433789954
88,0.001187214611872146
4419,0.0027101826484018264
2256,0.0006187214611872146
4453,0.0091324200913242
2216,0.0007955251141552512
382,0.00867579908675799
3599,0.00639269406392694
136,0.0014611872146118722
4477,0.053561643835616436
1816,0.004100456621004566
198,0.000541324200913242
2929,0.1598173515981735
2150,4.0958904109589044e-05
232,0.010091324200913241
3253,0.0006365296803652967
1202,6.84931506849315e-06
2939,0.014840182648401826
1520,0.18219178082191778
770,0.0365296803652968
766,0.7164383561643836
3803,0.03050228310502283
97,0.002694063926940639
665,0.01643835616438356
3085,0.008127853881278539
1358,9.132420091324201e-05
4392,0.005388127853881278
3481,0.0319634703196347
4255,0.08812785388127854
2394,3.415525114155251e-05
261,0.022465753424657533
1188,2.497716894977169e-05
574,0.00017100456621004564
1660,0.07406392694063926
2465,5.415525114155251e-05
4157,0.260958904109589
